;index;cutoutname;objname;ra;dec;VIS;Y;H;J;grade;new;rawscore;notes
44;159;TILE102158277_2738945549646397299;EUCLJ181534.69+643823.03;273.8945549705793;64.63972990931421;22.120342;21.007566;20.10185;20.534613;AA;N;18.166608810424805;Previously found in L25,W25
45;65;TILE102021500_-636294430480333264;EUCLJ041431.07-480159.98;63.629443096530274;-48.03332641580719;18.870775;18.951384;18.2762;18.60014;AA;N;18.019407272338867;Previously found in L25,W25
46;190;TILE102159192_2699004780662092340;EUCLJ175936.11+661233.24;269.9004780925334;66.2092340860312;20.22485;19.86905;19.168278;19.491337;AA;N;18.011991500854492;Previously found in L25,W25
47;130;TILE102044825_-534081174272937149;EUCLJ033337.95-271737.37;53.408117445209946;-27.2937149013282;20.148165;19.574337;18.870502;19.203148;AA;N;17.586261749267578;Previously found in L25,W25
48;174;TILE102158888_2667434443654461269;EUCLJ174658.43+652646.06;266.7434443925532;65.44612692321355;20.743761;20.039654;19.38855;19.761303;AA;N;17.401552200317383;Previously found in L25,W25
49;364;TILE102021981_-584133901477397990;EUCLJ035339.21-474423.28;58.41339017610152;-47.73979901507519;23.701302;22.97632;22.465061;22.703056;B;Y;17.19727325439453;
50;112;TILE102042915_-527574180288799276;EUCLJ033101.78-285247.74;52.75741809343428;-28.87992760661953;21.469301;20.664665;19.880085;20.275455;AA;N;17.162817001342773;Previously found in L25,W25
51;92;TILE102023476_-610025395461180513;EUCLJ040400.61-460704.98;61.00253957732884;-46.11805137162271;21.728485;20.678423;19.721792;20.161345;AA;N;16.91436004638672;Previously found in L25,W25
52;128;TILE102044823_-519633334274259646;EUCLJ032751.20-272533.47;51.963333406311975;-27.425964645733604;20.475788;20.010454;19.291517;19.626184;AA;N;16.39978790283203;Previously found in L25,W25
53;169;TILE102158887_2648223419654261880;EUCLJ173917.36+652534.28;264.8223419828193;65.42618803638058;20.971144;20.619389;19.91439;20.259987;BA;N;16.39139175415039;Previously found in L25,W25
54;242;TILE102157957_2713038976639343802;EUCLJ180512.94+635603.77;271.3038976221905;63.93438022433904;18.102184;18.333982;17.653328;17.962734;A;N;16.380321502685547;Previously found in E25
55;56;TILE102021492_-575201344482287786;EUCLJ035004.83-481343.60;57.52013446409377;-48.228778611310375;22.48633;21.346533;20.392565;20.879482;AA;N;16.176942825317383;Previously found in L25,W25
56;193;TILE102159196_2750719383660442039;EUCLJ182017.27+660239.13;275.0719383791194;66.04420394490067;22.433413;21.390038;20.432726;20.864866;BA;N;15.569924354553224;Previously found in L25,W25
57;4;TILE102018668_-595646727509469177;EUCLJ035815.52-505648.90;59.56467277951752;-50.94691775377698;20.57552;19.655514;18.79615;19.216228;AA;N;15.539751052856444;Previously found in L25,W25
58;38;TILE102020534_-604836154490669092;EUCLJ040156.07-490400.87;60.48361548429967;-49.066909219608;21.08332;20.656876;19.571491;20.014965;AA;N;15.385381698608398;Previously found in L25,W25
59;186;TILE102159189_2663231466659368059;EUCLJ174517.56+655612.50;266.32314660184653;65.93680598259884;20.392263;19.888855;19.119116;19.502079;AA;N;15.322912216186523;Previously found in L25,W25
60;8;TILE102019588_-579777892502175909;EUCLJ035154.67-501303.33;57.97778927969276;-50.21759091198168;22.966896;21.934052;21.150625;21.536833;AA;N;15.248353958129885;Previously found in L25,W25
61;245;TILE102023984_-631834055455338747;EUCLJ041244.02-453201.95;63.183405540929975;-45.53387474681072;21.638935;20.779716;19.955803;20.3651;B;Y;15.045980453491213;
62;339;TILE102019593_-619109079498649937;EUCLJ040738.62-495153.98;61.91090798878045;-49.8649937901088;19.175106;19.235355;18.554142;18.885607;A;N;14.945493698120115;Previously found in Storfer+ 22,LensKiller,E25
63;108;TILE102042913_-520468437290867742;EUCLJ032811.24-290512.39;52.0468437792624;-29.08677424976756;22.669516;21.494625;20.598158;21.049036;BA;N;14.830533027648926;Previously found in L25,W25
64;205;TILE102159773_2677079122669151496;EUCLJ175049.90+665454.54;267.70791227786816;66.91514966802278;19.222414;18.989302;18.360054;18.630058;AA;N;14.690828323364258;Previously found in L25,W25
65;48;TILE102021014_-612541467486040615;EUCLJ040501.00-483614.62;61.25414672578693;-48.60406158910315;23.570724;22.769728;22.009186;22.420654;BA;N;14.51165008544922;Previously found in L25,W25
66;90;TILE102022972_-597052478465695317;EUCLJ035849.26-463410.31;59.70524784467164;-46.56953177707104;19.868015;19.228485;18.476887;18.848162;BA;N;14.358628273010254;Previously found in L25,W25
67;84;TILE102021990_-650300739474052824;EUCLJ042007.22-472419.02;65.03007393065597;-47.40528248287169;23.225525;21.942972;21.140093;21.500008;AA;N;14.17470359802246;Previously found in L25,W25
68;30;TILE102020529_-564427129491602014;EUCLJ034546.25-490936.73;56.442712921370415;-49.16020146642965;20.522661;19.921122;19.055809;19.515152;BB;N;13.049810409545898;Previously found in L25,W25
69;36;TILE102020532_-592320863488461402;EUCLJ035655.70-485046.10;59.23208639600032;-48.84614020430707;22.43135;21.094221;20.253723;20.595295;AB;N;12.872269630432127;Previously found in L25,W25
70;27;TILE102020065_-639706305497277844;EUCLJ041552.95-494340.02;63.97063058883589;-49.727784447975104;19.332909;19.42094;18.539177;18.971325;BB;N;12.552875518798828;Previously found in L25,W25
71;213;TILE102160335_2672720281680709434;EUCLJ174905.29+680415.40;267.2720281605204;68.0709434252139;20.71289;20.123283;19.271523;19.689285;BB;N;12.480382919311523;Previously found in L25,W25
72;252;TILE102023478_-628709120458708554;EUCLJ041129.02-455215.08;62.87091200421887;-45.87085540100805;22.070805;21.235826;20.391495;20.768791;B;Y;12.467483520507812;
73;50;TILE102021015_-616932997484302318;EUCLJ040646.39-482548.83;61.69329975421426;-48.430231815488426;18.006828;18.374704;17.733946;18.62035;AB;N;12.352375030517578;Previously found in L25,W25
74;212;TILE102160335_2672690861681717566;EUCLJ174904.58+681018.32;267.269086163563;68.17175669313491;21.509409;20.986067;20.232273;20.582462;BB;N;12.179018020629885;Previously found in L25,W25
75;58;TILE102021493_-584317889477816598;EUCLJ035343.63-474653.98;58.43178892264506;-47.781659836956656;21.729156;21.122734;20.41769;20.806772;AB;N;11.956899642944336;Previously found in L25,W25
76;217;TILE102160337_2701254133678933511;EUCLJ180030.10+675336.06;270.1254133752072;67.89335117440586;20.104431;19.692957;18.966637;19.32584;BA;N;11.911836624145508;Previously found in L25,W25
77;137;TILE102045468_-536440857272232644;EUCLJ033434.58-271323.75;53.644085783516914;-27.223264429173245;18.334564;18.700476;17.969368;18.30491;BB;N;11.758485794067385;Previously found in L25,W25
78;255;TILE102019124_-574877216506187980;EUCLJ034957.05-503707.67;57.4877216354665;-50.618798090669735;21.518646;21.737457;21.514984;21.580706;B;Y;11.695201873779297;
79;37;TILE102020533_-596261344490617547;EUCLJ035830.27-490342.32;59.62613444089271;-49.06175479865302;21.471207;20.57151;19.773392;20.148808;AA;N;11.498383522033691;Previously found in L25,W25
80;261;TILE102160611_2734314036687126673;EUCLJ181343.54+684245.60;273.431403688944;68.71266739829326;22.593086;21.34933;20.4977;20.909073;B;Y;11.478189468383787;
81;221;TILE102160610_2725640304686403990;EUCLJ181015.37+683825.44;272.5640304560574;68.64039906186375;19.067839;18.897984;18.176048;18.516258;AA;N;11.31509780883789;Previously found in L25,W25
82;18;TILE102020059_-590814898493650143;EUCLJ035619.56-492154.05;59.08148989976037;-49.36501436418274;20.034931;19.542404;18.75185;19.129093;BB;N;11.30489730834961;Previously found in L25,W25
83;153;TILE102157958_2719195933641972975;EUCLJ180740.70+641150.27;271.919593396224;64.1972975435358;21.279339;20.397717;19.545437;19.968212;AA;N;11.118022918701172;Previously found in L25,W25
84;277;TILE102019126_-587713107502760148;EUCLJ035505.11-501633.65;58.77131071304341;-50.27601482573132;23.860748;22.50655;21.214653;21.695065;A;Y;11.058876991271973;
85;182;TILE102158894_2730612507653143373;EUCLJ181214.70+651851.61;273.06125079548667;65.31433733285209;18.01738;18.309898;17.694508;17.973728;BA;N;11.013402938842772;Previously found in L25,W25
86;29;TILE102020528_-554976975487853956;EUCLJ034159.45-484707.42;55.497697503788665;-48.785395695423865;19.310959;19.230192;18.534687;18.863283;AA;N;10.992252349853516;Previously found in L25,W25
87;81;TILE102021988_-637841878475955814;EUCLJ041508.21-473544.09;63.78418781614113;-47.59558144020346;21.855024;20.967867;20.383488;20.710535;BA;N;10.931527137756348;Previously found in L25,W25
88;214;TILE102160336_2694549514678142483;EUCLJ175749.19+674851.29;269.454951470646;67.81424836837486;20.229696;19.641977;18.855852;19.24104;AA;N;10.890754699707031;Previously found in L25,W25
89;215;TILE102160336_2695945753681853613;EUCLJ175822.70+681107.30;269.59457532951967;68.18536135682035;22.009274;20.956629;20.050419;20.51283;AA;N;10.844755172729492;Previously found in L25,W25
90;25;TILE102020064_-630441470494718517;EUCLJ041210.60-492818.67;63.04414702952862;-49.4718517641365;21.974241;20.794495;19.819326;20.293682;BA;N;10.788690567016602;Previously found in L25,W25
91;10;TILE102019592_-606434619500983922;EUCLJ040234.43-500554.21;60.64346193262833;-50.09839222917177;21.674782;21.09074;20.388681;20.693058;AA;N;10.722893714904783;Previously found in L25,W25
92;202;TILE102159489_2726981595665987676;EUCLJ181047.56+663555.56;272.698159588393;66.59876761464275;17.285763;17.865738;17.228815;17.589115;BA;N;10.686811447143556;Previously found in L25,W25
93;91;TILE102022978_-639856435467273842;EUCLJ041556.55-464338.58;63.9856435425629;-46.72738424488188;20.816917;20.133617;19.338978;19.735931;BA;N;10.669109344482422;Previously found in L25,W25
94;9;TILE102019588_-579781735502176069;EUCLJ035154.76-501303.39;57.9781735251624;-50.21760698874812;22.473946;21.116055;20.242098;20.648552;BA;N;10.564964294433594;Previously found in L25,W25
95;191;TILE102159194_2720218468661752478;EUCLJ180805.24+661030.89;272.0218468258914;66.17524782067571;20.65616;21.29773;20.48024;20.849571;BB;N;10.519679069519045;Previously found in L25,W25
96;121;TILE102044182_-514435270280350833;EUCLJ032546.45-280206.30;51.44352700531004;-28.0350833479322;21.778568;20.911322;20.321331;20.589485;BA;N;10.392105102539062;Previously found in L25,W25
97;197;TILE102159483_2659872799666371332;EUCLJ174356.95+663813.68;265.987279945432;66.63713320694595;17.147644;17.85249;17.17648;17.49138;AA;N;10.381399154663086;Previously found in L25,W25
98;51;TILE102021016_-627891706482718950;EUCLJ041109.40-481618.82;62.78917068450788;-48.27189506638918;19.940067;19.073326;18.232086;18.620089;AA;N;10.358163833618164;Previously found in L25,W25
99;2;TILE102018666_-579859279508531437;EUCLJ035156.62-505111.32;57.9859279150053;-50.8531437640506;19.94844;19.41547;18.682274;19.044804;BA;N;10.057758331298828;Previously found in L25,W25
100;76;TILE102021984_-610367881474644147;EUCLJ040408.83-472751.89;61.03678813026211;-47.46441472398151;20.929853;20.101528;19.25828;19.67979;BA;N;9.859914779663086;Previously found in L25,W25
101;0;TILE102018665_-570040238507752998;EUCLJ034800.97-504631.08;57.00402384909541;-50.77529982012066;22.298613;21.03141;20.167803;20.598042;BA;N;9.85722541809082;Previously found in L25,W25
102;172;TILE102158887_2655306065654633189;EUCLJ174207.35+652747.95;265.5306065631984;65.46331893363914;21.45738;20.879494;20.102592;20.48914;AA;N;9.842456817626951;Previously found in L25,W25
103;95;TILE102023480_-640270096460844048;EUCLJ041606.48-460503.86;64.02700969109169;-46.08440488708592;20.848782;20.011204;19.195854;19.609436;BB;N;9.735538482666016;Previously found in L25,W25
104;347;TILE102021987_-629272539475982996;EUCLJ041142.54-473553.88;62.9272539055624;-47.59829966713742;17.851898;17.975351;17.348011;17.626385;A;N;9.54559326171875;Previously found in E25
105;118;TILE102043552_-547756940286644821;EUCLJ033906.17-283952.14;54.77569408152624;-28.66448211695416;17.877867;18.597;17.95229;18.23574;BA;N;9.371583938598633;Previously found in L25,W25
106;39;TILE102020536_-621645331488224037;EUCLJ040839.49-484920.65;62.1645331458563;-48.82240372116829;21.151659;20.218082;19.283993;19.758308;BA;N;9.257219314575195;Previously found in L25,W25
107;167;TILE102158886_2641867744653343162;EUCLJ173644.83+652003.54;264.1867744091848;65.33431624987132;21.312517;20.658731;19.824217;20.293013;BA;N;9.132975578308104;Previously found in L25,W25
